Species_ID,Subclass,Order,Superfamily,Family,Biovolume_mm3,Genus,Species,B0 Order,tiering,motility,feeding,ecospace
Ano7,Pteriomorphia,Ostreoida,Anomioidea,Anomiidae ,3380,Anomiidae ,Anomiidae sp. S29,0.45,3, , , 
Arc11,Pteriomorphia,Arcoida,Arcoidea,Arcidae,573.6763467,Bathyarca,Bathyarca inaequisculpta,0.26,3,6,1,361
Arc12,Pteriomorphia,Arcoida,Arcoidea,Arcidae,140.9638754,Bathyarca,Bathyarca pectunculoides,0.26,3,6,1,361
Arc14,Pteriomorphia,Arcoida,Arcoidea,Arcidae,6319.944598,Bentharca,Bentharca nodulosa,0.26,5,6,1,561
Arc47,Pteriomorphia,Arcoida,Arcoidea,Arcidae,867.9268769,Bathyarca,Bathyarca sp. 245,0.26,3,6,1,361
Arc48,Pteriomorphia,Arcoida,Arcoidea,Arcidae,867.9268769,Bathyarca,Bathyarca sp.,0.26,3,6,1,361
Arc7,Pteriomorphia,Arcoida,Arcoidea,Arcidae,17902.65306,Bathyarca,Bathyarca glacialis,0.26,3,6,1,361
Arc9,Pteriomorphia,Arcoida,Arcoidea,Arcidae,2086.1893,Bentharca,Bentharca asperula,0.26,5,6,1,561
Ast10,Heterodonta,Veneroida,Astartoidea,Astartidae,30892.12245,Astarte,Astarte sp. 2,0.42,5,3,1,531
Ast12,Heterodonta,Veneroida,Astartoidea,Astartidae,30892.12245,Astarte ,Astarte sp. 5,0.42,5,3,1,531
Ast13,Heterodonta,Veneroida,Astartoidea,Astartidae,12431.04625,Tridonta ,Tridonta elliptica,0.42,5,3,1,531
Ast15,Heterodonta,Veneroida,Astartoidea,Astartidae,30892.12245,Astarte,Astarte sp.,0.42,5,3,1,531
Ast16,Heterodonta,Veneroida,Astartoidea,Astartidae,30892.12245,Astarte,Astarte sp. 3,0.42,5,3,1,531
Ast9,Heterodonta,Veneroida,Astartoidea,Astartidae,30892.12245,Astarte,Astarte sp. 1,0.42,5,3,1,531
Car116,Heterodonta,Veneroida,Carditoidea,Carditidae,88386.21907,Carditidae,Carditidae sp. 1,0.42,5,3,1,531
Car117,Heterodonta,Veneroida,Carditoidea,Carditidae,97056.32602,Carditidae,Carditidae sp. 2,0.42,5,3,1,531
Car118,Heterodonta,Veneroida,Carditoidea,Carditidae,114114.8547,Carditidae,Carditidae sp. 5,0.42,5,3,1,531
Car22,Heterodonta,Veneroida,Cardioidea,Cardiidae,281243.4125,Clinocardium,Clinocardium ciliatum,0.42,5,3,1,531
Car242,Heterodonta,Veneroida,Cardioidea,Cardiidae,727766.9121,Acanthocardia,Acanthocardia echinata,0.42,5,3,1,531
Car243,Heterodonta,Veneroida,Cardioidea,Cardiidae,797912.6263,Cardiidae,Cardiidae sp. 4,0.42,5,3,1,531
Car244,Heterodonta,Veneroida,Cardioidea,Cardiidae,797912.6263,Cardiidae,Cardiidae sp. 6,0.42,5,3,1,531
Cor219,Heterodonta,Myoida,Myoidea,Corbulidae ,1263.161657,Corbula,Corbula sp. 1,0.44,0,6,1,61
