Subclass,Order,Superfamily,Family,Species_ID,Biovolume_mm3,Genus,Species,B0 Order
Anomalodesmata,Pholadomyoida,Pholadomyoida,Lyonsiidae,Lyo22,174.24,Lyonsia,Lyonsia sp. 1,0.42
Anomalodesmata,Pholadomyoida,Pandoroidea,Pandoridae,Pan14,1548.8,Pandora,Pandora pinna,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Periplomatidae,Per1,173971.1058,Periploma,Periploma planiusculum,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Periplomatidae,Per8,1157.519612,Periploma,Periploma tenerum,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr19,41936.49984,Asthenothaerus ,Asthenothaerus hemphillii,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr31,41936.49984,Bushia,Bushia sp.,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr25,8780.04,Thracia,Thracia durouchouxi,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr26,3199.064708,Thracia,Thracia gracilis,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr27,211276.6064,Thracia,Thracia pubescens,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr32,41936.49984,Thracia,Thracia sp.,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr16,1300,Thracia ,Thracia nitida,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr23,301363.5528,Thracia ,Thracia conradi ,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr28,41936.49984,Thracia ,Thracia sp. 1,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr29,41936.49984,Thracia ,Thracia sp. 2,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr30,41936.49984,Thracia ,Thracia sp. 3,0.42
Anomalodesmata,Pholadomyoida,Thracioidea,Thraciidae,Thr7,43212.78769,"Thracia, sensu lato","Thracia, sensu lato myopsis",0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus9,4839.506173,Bathyneaera,Bathyneaera tillamookensis,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus49,249.5672448,Bidentaria ,Bidentaria atlantica,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus131,1564.351717,Cardiomya,Cardiomya sp.,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus132,1564.351717,Cardiomya,Cardiomya sp. 1,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus29,78.97025419,Cardiomya,Cardiomya costellata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus30,6776.970465,Cardiomya,Cardiomya knudseni,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus41,1564.351717,Cardiomya,Cardiomya curta,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus130,179.957551,Cardiomya ,Cardiomya gemma,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus104,512.0614237,Cuspidaria,Cuspidaria sp. ,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus105,512.0614237,Cuspidaria,Cuspidaria sp. a,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus106,512.0614237,Cuspidaria,Cuspidaria sp. d,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus108,512.0614237,Cuspidaria,Cuspidaria sp. f,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus109,512.0614237,Cuspidaria,Cuspidaria sp. g,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus110,512.0614237,Cuspidaria,Cuspidaria sp. h,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus111,512.0614237,Cuspidaria,Cuspidaria sp. j,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus112,512.0614237,Cuspidaria,Cuspidaria sp. k,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus113,512.0614237,Cuspidaria,Cuspidaria sp. L,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus114,512.0614237,Cuspidaria,Cuspidaria sp. p,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus115,512.0614237,Cuspidaria,Cuspidaria sp. q,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus117,512.0614237,Cuspidaria,Cuspidaria sp. 56,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus118,512.0614237,Cuspidaria,Cuspidaria sp. 126,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus119,512.0614237,Cuspidaria,Cuspidaria sp. 202,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus120,512.0614237,Cuspidaria,Cuspidaria sp. 239,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus121,512.0614237,Cuspidaria,Cuspidaria sp. 242,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus122,512.0614237,Cuspidaria,Cuspidaria sp. 326,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus124,512.0614237,Cuspidaria,Cuspidaria sp. 334,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus125,512.0614237,Cuspidaria,Cuspidaria sp. 346,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus126,512.0614237,Cuspidaria,Cuspidaria sp. 519,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus129,472.3026639,Cuspidaria,Cuspidaria inflata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus133,512.0614237,Cuspidaria,Cuspidaria sp. 3,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus19,621.5942945,Cuspidaria,Cuspidaria obesa,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus20,25.95790932,Cuspidaria,Cuspidaria parva,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus21,512.0614237,Cuspidaria,Cuspidaria sp. 1,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus22,512.0614237,Cuspidaria,Cuspidaria sp. 2,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus27,44.00487408,Cuspidaria,Cuspidaria atlantica,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus28,512.0614237,Cuspidaria,Cuspidaria circinata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus35,2951.550069,Cuspidaria,Cuspidaria cuspidata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus36,40.22506371,Cuspidaria,Cuspidaria jeffreysi,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus37,512.0614237,Cuspidaria,Cuspidaria barnardi,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus38,7676.244779,Cuspidaria,Cuspidaria undata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus39,15426.92662,Cuspidaria,Cuspidaria ventricosa,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus134,936.1830633,Cuspidaria ,Cuspidaria teres,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus34,54.26796532,Edentaria,Edentaria simplis,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus47,101.4347265,Halonympha,Halonympha depressa,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus48,21.49506573,Halonympha ,Halonympha atlanta,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus26,25.88305346,Luzonia,Luzonia simplex,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus127,512.0614237,Myonera,Myonera angularis,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus135,168.0477913,Myonera,Myonera sp. 1,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus136,168.0477913,Myonera,Myonera sp. 2,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus137,168.0477913,Myonera,Myonera sp. 3,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus138,168.0477913,Myonera,Myonera sp. 5,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus16,1501.762354,Myonera,Myonera paucistriata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus23,36.81522479,Myonera,Myonera atlantica,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus24,168.0477913,Myonera,Myonera sp.,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus42,232.7276789,Myonera,Myonera demistriata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus43,34.09995432,Myonera,Myonera octaporosa,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus102,90.65054127,Protocuspidaria,Protocuspidaria sp. 256,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus103,90.65054127,Protocuspidaria,Protocuspidaria sp. ,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus139,50.1581557,Protocuspidaria,Protocuspidaria simplis,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus33,148.4556087,Protocuspidaria,Protocuspidaria verityi,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus140,41.42060451,Rhinoclama,Rhinoclama sp.,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus25,82.94653394,Rhinoclama,Rhinoclama notabilis,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus44,91.22424249,Rhinoclama,Rhinoclama abrupta,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus45,2.615560573,Rhinoclama,Rhinoclama halimera,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus141,25.58134438,Tropidomya,Tropidomya sp.,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus31,51.75969482,Tropidomya,Tropidomya abbreviata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus46,10.13696076,Tropidomya,Tropidomya diagonalis,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por28,5236.478306,Cetoconcha,Cetoconcha sp.,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por9,5236.478306,Cetoconcha,Cetoconcha braziliensis,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por25,405.3467493,Poromya,Poromya sp. 256,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por26,405.3467493,Poromya,Poromya sp. 301,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por27,405.3467493,Poromya,Poromya sp. 335,0.42
