Individuals,Basin,Lat,Long,Depth,Flux,Temp,Salinity,DissOx,Station,Station2
7,ANGOLA BASIN,-22.84,11.97,2745,9.0122,2.9,34.9,5.06, Walda DS06,st Walda DS06
2,ANGOLA BASIN,-21.99,9.03,4180,4.1197,1.52,34.78,5, Walda DS04,st Walda DS04
152,ANGOLA BASIN,-21.75,11.13,2992,9.3939,2.55,34.88,5.27, Walda DS05,st Walda DS05
4,ANGOLA BASIN,-20.06,8,4829,4.9065,2.5,34.89,5.4, Walda DS03,st Walda DS03
6,ANGOLA BASIN,-19.95,11.03,1227,34.722,3.57,34.7,4.02, Walda DS07,st Walda DS07
219,ANGOLA BASIN,-18.67,10.94,1432,32.61,3.54,34.8,4.4, Walda DS10,st Walda DS10
5,ANGOLA BASIN,-17.55,9.48,4308,10.508,2.41,34.89,5.2, Walda DS12,st Walda DS12
945,ANGOLA BASIN,-14.82,9.93,3797,6.855,2.38,34.89,5.2,195,st195
226,ANGOLA BASIN,-14.36,9.77,3985,5.8739,2.38,34.89,5.2, Walda DS13,st Walda DS13
4,ANGOLA BASIN,-12.45,11.03,3367,4.7004,2.46,34.9,5.19, Walda DS15,st Walda DS15
1,ANGOLA BASIN,-11.96,12.91,1537,18.497,3.81,34.9,4.63, Walda DS14,st Walda DS14
10,ANGOLA BASIN,-10.52,11.96,1787,10.961,3.6,34.9,5, Walda DS16,st Walda DS16
142,ANGOLA BASIN,-10.48,9.05,4630,3.3529,2.39,34.89,5.3,196,st196
804,ANGOLA BASIN,-10.48,9.07,566,2.8759,6.29,34.6,1.59,197,st197
1145,ANGOLA BASIN,-10.48,9.07,4596,2.8759,2.39,34.89,5.3, 198 4,st 198 4
82,ANGOLA BASIN,-9.78,10.48,3779,4.2303,2.38,34.89,5.1,199,st199
467,ANGOLA BASIN,-9.68,10.92,2754,6.1703,2.64,34.91,5.39,200,st200
562,ANGOLA BASIN,-9.48,11.57,2031,10.197,3.3,34.9,5.34,201,st201
5,ANGOLA BASIN,-9.2,10.48,4223,4.4434,2.37,34.89,5.1, Walda DS17,st Walda DS17
362,ANGOLA BASIN,-9.08,12.28,1643,17.622,3.6,34.9,5.11,202,st202
5013,ANGOLA BASIN,-8.77,12.78,542,54.987,7.33,34.7,1.18,203,st203
2,ANGOLA BASIN,-6.62,8.3,4079,6.8508,2.36,34.89,5.1, Walda DS18,st Walda DS18
1253,ARGENTINE BASIN,-43.55,-48.97,5223,3.5284,0.3,34.68,5.1,247,st247
164,ARGENTINE BASIN,-38.5,-52.15,4435,3.9336,0.3,34.67,5.1,252,st252
763,ARGENTINE BASIN,-38.28,-51.94,4402,3.687,0.28,34.67,5.1,242,st242
1462,ARGENTINE BASIN,-37.68,-52.32,3916,4.3379,0.64,34.69,5.1,256,st256
315,ARGENTINE BASIN,-37.61,-52.39,3822,4.299,0.64,34.69,5.1,243,st243
180,ARGENTINE BASIN,-37.25,-52.75,3343,6.0993,1.19,34.72,4.97,246,st246
1409,ARGENTINE BASIN,-37.22,-52.75,3317,6.0993,1.19,34.72,4.97,259,st259
757,ARGENTINE BASIN,-36.93,-53.02,2707,9.1219,2.8,34.9,5.26,245,st245
387,ARGENTINE BASIN,-36.89,-53.17,2332,11.089,2.9,34.9,5.35,240,st240
2013,ARGENTINE BASIN,-36.82,-53.26,1679,16.954,3.1,34.7,4.55,239,st239
643,ARGENTINE BASIN,-36.54,-53.38,1011,30.709,3.11,34.33,5,237,st237
45,ARGENTINE BASIN,-36.45,-53.52,518,46.734,5.35,34.4,5.97,236,st236
3,ARGENTINE BASIN,-36.3,-53.52,165,63.78,8.65,34.6,5.92,282,st282
3923,ARGENTINE BASIN,-36.28,-53.4,293,62.781,7.17,34.5,5.93,280,st280
267,ARGENTINE BASIN,-36.21,-52.71,2048,12.315,3.2,34.8,4.85,264,st264
6,ARGENTINE BASIN,-36.14,-53.71,98,86.752,9.6,34.5,5.92,284,st284
893,ARGENTINE BASIN,-36.09,-52.3,2480,6.2159,2.8,34.9,5.26,262,st262
11,CANARIES BASIN,27.22,-15.68,3301,3.5996,2.51,34.91,5.5, D6714,st D6714
33,CANARIES BASIN,27.25,-15.61,2988,4.1886,2.77,34.94,5.35, D6711,st D6711
18,CANARIES BASIN,27.39,-15.66,2670,3.9443,3.2,35,5.27, D6710,st D6710
5,CANARIES BASIN,27.49,-15.44,2593,4.3232,3.2,35,5.27, D6707,st D6707
34,CANARIES BASIN,27.5,-15.34,2351,4.6821,3.2,35,5.27, D6709,st D6709
264,CANARIES BASIN,27.75,-14.22,1934,7.3916,4.2,35.1,5.08, D6701,st D6701
294,CANARIES BASIN,27.75,-14.42,2129,5.7083,4.2,35.1,5.08, D6704,st D6704
16,CANARIES BASIN,27.95,-13.77,1564,7.5961,6.09,35.3,4.65, D6697,st D6697
27,CANARIES BASIN,28.1,-13.47,1780,10.731,5,35.2,5.05, D6696,st D6696
2086,CAPE BASIN,-23.03,12.32,2154,13.244,3.1,34.9,4.93,192,st192
15808,CAPE BASIN,-23,12.97,622,32.835,5.49,34.5,2.83,188,st188
5856,CAPE BASIN,-23,12.75,1014,25.724,3.7,34.54,3.72,189,st189
2078,CAPE BASIN,-23,12.53,1559,16.993,3.4,34.8,4.42,191,st191
1297,CAPE BASIN,-22.95,13.08,481,37.611,6.47,34.6,2.81,186,st186
714,CAPE BASIN,-22.9,11.92,2864,8.1755,2.59,34.89,5.32,194,st194
77,CAPE BASIN,-22.88,13.52,220,60.717,11.55,35,3.22,181,st181
102,EQUATOR,-8.05,-34.38,827,3.4938,4.39,34.47,3.87,169,st169
35,EQUATOR,-8.03,-34.05,1493,1.7151,4.18,34.9,5.18,162,st162
199,EQUATOR,-7.97,-34.28,1007,2.6553,4.09,34.57,4.08,167,st167
35,EQUATOR,-7.83,-34.47,416,4.755,8.6,34.7,3.35,168,st168
566,EQUATOR,-0.77,-29.47,3495,2.0851,2.48,34.91,5.98,156,st156
201,EQUATOR,-0.05,-27.8,3783,2.3033,2.1,34.88,5.8,155,st155
1082,GAMBIA,10.5,-17.86,1796,5.2278,3.8,35,5.19,141,st141
84,GAMBIA,10.5,-17.86,2131,5.2278,3.5,35,5.47,142,st142
106,GAMBIA,10.5,-18.3,3861,3.6943,2.37,34.89,5.6,149,st149
29,GAMBIA,10.55,-17.88,2187,5.3379,3.5,35,5.47,139,st139
108,GAMBIA,10.58,-17.73,2095,25.186,3.5,35,5.47,143,st143
48,GAMBIA,10.6,-17.87,1976,5.3379,3.5,35,5.47,138,st138
221,GAMBIA,10.6,-17.82,2192,10.474,3.5,35,5.47,144,st144
217,GAMBIA,10.6,-17.82,2357,10.474,3,34.9,5.45,145,st145
230,GAMBIA,10.62,-18.23,3828,3.6311,2.37,34.89,5.6,148,st148
267,GAMBIA,10.63,-17.87,2934,5.3379,2.7,34.93,5.5,147,st147
24,GAMBIA,10.66,-17.74,2891,16.348,2.7,34.93,5.5,146,st146
1,GUINEA BASIN,-3.8,9.3,2243,16.578,3.4,34.9,5.57, Walda DS19,st Walda DS19
1,GUINEA BASIN,-2.64,5.67,4019,4.36,2.34,34.89,5.4, Walda DS21,st Walda DS21
23,GUINEA BASIN,-2.53,8.3,2514,8.223,2.9,34.9,5.53, Walda DS20,st Walda DS20
11,GUINEA BASIN,-0.59,6.82,3025,4.0007,2.65,34.91,5.5, Walda DS22,st Walda DS22
5,GUINEA BASIN,-0.26,5.8,3138,3.6002,2.64,34.91,5.49, Walda DS23,st Walda DS23
1017,NORTH AMERICA BASIN,40.71,-46.23,4400,3.5988,2.3,34.91,6.4,334,st334
121,NORTH AMERICA BASIN,40.71,-46.5,3919,3.4125,2.36,34.91,6.4,335,st335
61,NORTH AMERICA BASIN,41.22,-41.61,4793,2.7015,2.3,34.9,6.4,331,st331
679,NORTH AMERICA BASIN,32.26,-32.27,2223,1.6791,4.1,35.1,5.8,119,st119
170,NORTH AMERICA BASIN,32.32,-64.58,1153,3.5671,5.37,35.07,5.16,118,st118
20,NORTH AMERICA BASIN,33.95,-65.78,4743,1.7923,2.3,34.9,6.1,100,st100
103,NORTH AMERICA BASIN,34.65,-66.43,5007,1.8326,2.3,34.89,6,93,st93
62,NORTH AMERICA BASIN,34.68,-66.47,5042,1.8313,2.3,34.89,6,81,st81
19,NORTH AMERICA BASIN,34.72,-66.39,4977,1.8346,2.3,34.89,6,99,st99
1,NORTH AMERICA BASIN,34.72,-66.55,5023,1.8913,2.3,34.89,6,120,st120
4,NORTH AMERICA BASIN,34.76,-66.51,4977,1.8415,2.3,34.89,6,98,st98
51,NORTH AMERICA BASIN,34.78,-66.5,5000,1.8415,2.3,34.89,6,83,st83
